SFrame Completed
+--------------------------+------+-------------------------------+
|          image           | name |          annotations          |
+--------------------------+------+-------------------------------+
|  Height: 640 Width: 480  | 104  | [{'label': 'text', 'coordi... |
| Height: 2592 Width: 3888 | 196  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 161  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 151  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 100  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 290  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 260  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 291  | [{'label': 'text', 'coordi... |
| Height: 960 Width: 1280  | 112  | [{'label': 'text', 'coordi... |
|  Height: 640 Width: 480  | 211  | [{'label': 'text', 'coordi... |
+--------------------------+------+-------------------------------+
[200 rows x 3 columns]
Note: Only the head of the SFrame is printed.
You can use print_rows(num_rows=m, num_columns=n) to print more rows and columns.
Setting 'batch_size' to 128
Using GPUs to create model (GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti)
Setting 'max_iterations' to 1000
+--------------+--------------+--------------+
| Iteration    | Loss         | Elapsed Time |
+--------------+--------------+--------------+
| 1            | 7.458        | 16.4         |
| 3            | 7.391        | 35.0         |
| 4            | 7.337        | 45.5         |
| 5            | 7.297        | 56.5         |
| 7            | 7.237        | 75.1         |
| 9            | 7.100        | 94.7         |
| 10           | 7.048        | 104.8        |
| 12           | 6.833        | 123.5        |
| 13           | 6.782        | 134.5        |
| 15           | 6.588        | 153.8        |
| 17           | 6.471        | 173.7        |
| 19           | 6.348        | 193.2        |
| 21           | 6.174        | 211.3        |
| 22           | 6.114        | 223.0        |
| 24           | 5.936        | 241.6        |
| 26           | 5.699        | 261.8        |
| 28           | 5.534        | 281.1        |
| 29           | 5.450        | 292.5        |
| 31           | 5.287        | 310.7        |
| 32           | 5.213        | 320.9        |
